1	Алан	13	3162	1	68.00	136.50	74.00	1	2	62	1.5
1	Лакі	4	1581	1	90.00	90.00	83.50	6	3	70	1.50
1	Гранд	3	1384	1	55.00	78.00	80.00	4	6	93	1.00
1	Аллен	8	2174	1	90.00	90.00	34.00	7	4	116	2.50
1	Прімо	1	1680	1	59.00	116.00	50.50	1	4	88	2.00
1	Флорида	4	1384	0	61.00	110.00	43.00	9	7	0	2.00
1	Ніклас	10	988	1	50.00	68.00	45.50	3	1	124	0.50
1	Рут	4	1878	0	60.00	88.00	40.50	8	5	76	0.00
1	Сторк	4	1087	0	69.00	69.00	43.00	11	3	99	1.50
1	Ейс 7	2	988	1	45.00	75.00	73.00	2	6	154	0.00
1	Хантер	15	3953	0	50.00	117.00	75.00	1	2	0	2.50
1	Олівер	9	1680	0	54.50	100.00	73.00	10	1	0	3.00
1	Флекс	8	1087	0	55.00	100.00	41.00	11	3	106	3.00
1	Кемп	6	2273	0	70.00	90.00	135.50	5	5	83	2.50
1	Мерлін	12	4250	1	85.30	124.50	195.00	4	2	132	4.50
1	Соната	5	2174	1	74.00	114.00	45.50	1	4	69	0.00
1	Комфорт Лайт	5	3830	0	70.00	70.00	55.00	5	7	53	2.50
1	Ліліан	2	1680	1	60.00	60.00	45.50	8	1	87	1.00
1	Адісон	11	2174	1	85.00	22.00	74.00	9	3	23	2.00
1	Ультима	1	1977	0	85.00	22.00	74.00	12	3	60	0.00
1	Арчі	4	5337	1	80.00	80.00	55.00	6	6	0	5.00
1	Чемберлен	11	2830	0	85.00	22.00	74.00	13	7	43	1.50
1	Ларк	13	1285	0	50.00	80.00	50.00	7	2	85	1.00
1	Ніклас	7	988	1	50.00	68.00	45.50	11	6	18	0.50
1	Фокс	2	1779	1	50.00	90.00	75.00	1	3	158	1.00
1	Рік	14	4151	0	65.00	150.00	75.00	9	2	0	2.50
1	Морті	12	1977	1	54.50	100.00	73.00	5	4	0	1.00
2	Tvist	14	1008	0	80.00	35.00	35.00	4	5	53	0.50
2	Next	1	1641	0	125.00	25.00	30.00	1	2	48	1.00
2	Люкс студія 4	8	889	1	60.00	15.00	60.00	11	3	22	0.00
2	Tammy	8	1285	0	120.00	26.00	34.00	10	4	18	1.00
2	Хеві	3	1025	0	28.00	20.00	24.50	1	7	60	0.50
2	Слоник	4	1571	0	110.00	30.00	33.00	1	7	102	1.50
2	Мандаринка	6	1571	1	110.00	30.00	33.00	2	2	75	1.50
2	Джой	3	1326	0	120.00	40.00	50.00	3	7	23	1.00
2	Luxe Studio 12	4	1779	0	108.00	25.00	108.00	4	1	0	2.00
2	Luxe Studio 3	4	692	1	80.00	11.00	60.00	11	3	25	0.50
2	Luxe Studio 16	4	2767	0	180.00	25.00	180.00	6	6	39	1.50
2	Luxe Studio 5	4	1285	1	80.00	15.00	150.00	6	1	81	0.00
2	Luxe Studio 1	4	494	1	60.00	15.00	23.20	1	4	94	0.50
2	Система 4 Модуль 2	12	791	1	60.00	20.00	30.00	3	7	22	0.00
5	Кабі	1	1440	1	52.00	35.00	114.00	2	2	10	1.00
5	Graphic	8	3625	1	38.00	57.00	191.00	3	7	20	2.50
5	Каспіан	14	3820	1	90.00	40.00	200.00	5	3	62	1.50
5	Непо	10	2060	1	40.00	34.00	197.00	7	6	2	0.00
5	Офіс Лайн	14	1260	1	53.00	35.00	114.00	12	4	129	1.00
5	Порто	2	3910	1	89.00	40.00	200.00	13	5	43	2.50
5	Executive	3	2417	1	80.00	36.00	113.00	5	1	14	1.50
5	Natalia	9	5595	0	56.00	45.00	197.00	11	6	83	4.50
5	Nepo Plus	13	3938	1	117.00	39.00	114.00	10	4	82	2.00
5	Office Luxe	4	1596	0	52.00	35.00	114.00	8	2	95	1.00
5	Denton	12	4401	1	100.00	51.00	78.00	11	4	108	2.00
5	Halmar Caboto	11	3079	1	139.00	33.00	144.00	7	6	23	0.00
5	Venom	15	5058	1	90.00	40.00	202.00	7	3	0	3.00
4	Тис	7	4326	0	49.50	41.50	50.00	8	7	45	1.00
4	Тесса	2	2890	1	47.00	39.00	37.00	4	5	66	0.00
4	Хільда	11	6999	1	55.00	40.00	49.00	6	3	95	5.00
4	Атлас	2	1860	1	48.00	38.00	55.00	8	6	32	1.50
4	Родіка	1	6016	0	50.00	38.00	44.00	6	1	0	0.00
4	Дагні №3	8	1779	0	67.00	15.00	100.00	1	6	62	0.00
4	Лотос	13	3333	1	50.00	35.00	45.00	13	7	145	2.50
4	Приліжкова 3	14	1246	0	42.40	39.00	50.20	9	7	115	1.50
4	Ізабелла	4	5166	1	49.50	41.50	49.70	3	3	56	2.00
4	Атлант	2	4496	1	49.50	41.50	50.00	1	1	0	3.00
